ticker,name
AFL,AFL
AIZ,"Assurant, Inc."
AMZN,"Amazon.com, Inc."
ANET,"Arista Networks, Inc."
APH,APH
BAC,Bank of America Corporation
BNY,BNY
CBK.DE,Commerzbank AG                I
CF,CF
CFG,"Citizens Financial Group, Inc."
CRDA.L,CRODA INTERNATIONAL PLC ORD 10.
CRL,Charles River Laboratories Inte
DCC.L,DCC.L
DVA,DaVita Inc.
DXCM,"DexCom, Inc."
EME,"EMCOR Group, Inc."
GE,GE
GL,Globe Life Inc.
HUM,Humana Inc.
IVZ,Invesco Ltd
LLOY.L,LLOYDS BANKING GROUP PLC ORD 10
MET,MET
ML.PA,MICHELIN
MRK,MRK
MTB,MTB
NUE,NUE
OKE,OKE
PNC,"PNC Financial Services Group, I"
RL,Ralph Lauren Corporation
ROK,ROK
STLD,"Steel Dynamics, Inc."
SU.PA,SCHNEIDER ELECTRIC SE
TDY,Teledyne Technologies Incorpora
TROW,TROW
USB,USB
VTRS,VTRS
XOM,XOM
